wallet_address,risk_score,risk_category,first_seen_date,total_transaction_count,known_entity,sanctioned_flag,score_date
0x08twQXGLnyHCi6ZECLjPXRLt9h9RDZERx8uZnTYR,34,medium,2022-03-14,7,,False,2025-03-14
15W1TsY4jbyADvyeTr5RHguX1d5sOJBD3n,14,low,2023-09-09,3,Coinbase Hot Wallet,False,2025-03-14
0xXmOw1gW1x8QkdwD6hFuAjSphysKkUW9PfCYxNBah,64,high,2021-12-26,1007,,False,2025-03-14
LEPFbJJqUXlENAJgd4XlYbIHYEGKSWhU73,9,low,2022-12-31,12,,False,2025-03-14
L1RaBtcJOfpUfhs7k8Opc64sHiEt49LFQP,12,low,2021-05-11,24,Kraken,False,2025-03-14
1olsZ7LnwhMepx4yfpARHeT9RlxOYLAj9A,32,medium,2024-04-15,54,,False,2025-03-14
17pqGQzuf4WjXqg8n7WhG2KYfvJrqgctUl,24,low,2021-02-04,259,Gemini,False,2025-03-14
0xXQWI2yKqQSOiJq4NwWQzCBvDr7GS5oNfsV0NeofJ,99,severe,2024-12-19,76,,False,2025-03-14
1UIE27AFTDF93RzM4USRUpT6Z2GLL7P2Gn,52,high,2021-10-17,49,,False,2025-03-14
1wivdEk8uQZ01rDqaNy557F3530daCsgvS,18,low,2023-04-27,9,,False,2025-03-14
3vgEfFjhEjOoysAlYgB0kvAw1mlcyU3jmD,66,high,2023-07-12,295,Mixer Service,False,2025-03-14
bc18hEEQhUWyTTZi7XhvaQdZALaDrfAMTlrhqRPADW,3,low,2022-01-12,85,,False,2025-03-14
1RFl9KNoic95AMfdzsNouDFNsqrvztccdU,4,low,2022-05-05,214,,False,2025-03-14
0xnD4gl6wsgaI1uTwWGxOnx3iUhK4OlR5eHvS9mScl,42,medium,2022-06-25,109,,False,2025-03-14
0xIp20483BS4ez5FbLRhcJXRTyQ18kUxWyqljnR2XC,23,low,2025-01-15,10,,False,2025-03-14
ltc1Sq0sqhnHsN6ri2d89nhON8u62qi3s9MawTrpaO1,2,low,2022-12-12,581,,False,2025-03-14
0x6KSQ6pMLmBumN1yBTAjDECYkJ6lrt2YQliACNySi,7,low,2023-03-22,285,,False,2025-03-14
LLxbZVNcpfiMa77gTuRmDIBkujdQMhZgsF,8,low,2024-07-27,153,,False,2025-03-14
0xZi4bAjOo2x2Zgkgg7wMh553LlGLQjPsYvg4P5YSe,47,medium,2024-01-30,1352,,False,2025-03-14
0xa5jOtySWDeJ7rf9lxtAQzXuXOpzEHHYxKAJQURoa,19,low,2023-01-02,39,Major Exchange,False,2025-03-14
1wDig4w0WiCZI5AnnUhRiTRAdgKDKjjipa,29,medium,2024-10-18,53,Gemini,False,2025-03-14
0xZzVDiG6DSBNagdNLkjyA6CSpJso5qfx6UydyY8Le,0,low,2022-07-26,108,Coinbase Hot Wallet,False,2025-03-14
ltc1DtNZkXOmgeL0brHeLUtINcq8JIWct6awrymUS8R,37,medium,2021-04-29,5,,False,2025-03-14
Lu3FFWbXD1cjQeM7onQiS9F9LGVBisM6cS,24,low,2022-06-06,19,Gemini,False,2025-03-14
bc1ymLejMEXi1H8Wfft5krwflVpDp2OihJc1y14hw0,15,low,2022-08-10,9,,False,2025-03-14
MxQFq2QMNTpYa0sjyeyCfCN3CfT45Vmut9,31,medium,2021-03-28,1196,Kraken,False,2025-03-14
3nThCH6jnJ9WdYW8nnbVApkiqf2BAn3ld3,9,low,2023-10-04,25,,False,2025-03-14
0xA7sm6DHW7B4JZI3mSJiPZTZTa35EtXPqS961NNJc,14,low,2021-11-07,1,,False,2025-03-14
0xUlRWLnnlQ7wwstYhE9zvZA8u5CxIkBrOQNR64gfZ,12,low,2023-05-30,62,,False,2025-03-14
1OMzEU5gBKcrAnCxmDh74zYRTaxnr2qZXz,29,medium,2023-12-20,339,,False,2025-03-14
1a4cbX0GTtkJAIyMyd5A6yTytjoShhJyV4,1,low,2024-11-13,16,,False,2025-03-14
bc1jtfbaVjMH8JbT8NWlOnm0TYxqdfib91g5hiqle0,9,low,2021-10-18,11,,False,2025-03-14
1yEbe7eQxt4YlalJLb89EMHjT5lbbFj1hn,31,medium,2023-08-01,308,,False,2025-03-14
3ifQhqmfROCYB65pm0S7gXKkmSABKqtgxm,62,high,2022-04-30,47,,False,2025-03-14
MxNdkcFKsZN7vbluXweOxWhtauCX3IxLGg,44,medium,2024-07-22,13,,False,2025-03-14
0xrL21e3AUttmXE9AhkuxJrN194r0y34cNefXSrUyI,47,medium,2024-03-18,1048,,False,2025-03-14
MEcs9EN406gnZi91SofSYYHaQd2ccsqQXx,70,high,2023-10-17,80,,False,2025-03-14
0xR5KhtjK03NPGoDErVDfVSvZpO1ReEnPDxEvYVFt6,1,low,2022-06-24,43,,False,2025-03-14
ltc1CjF4nw81FWlrkt1Oj2Uo3lbPCq5fAjFFdqgOTAs,33,medium,2023-01-07,68,Gemini,False,2025-03-14
3krLGgdpgh3JoGr2RzynZQEkmNRral4MT0,9,low,2024-08-25,30,Coinbase Hot Wallet,False,2025-03-14
bc1otel3iaDulqeQ0K8KEpgYJ9ZGkjfsTCT9pEwavS,45,medium,2024-07-11,69,,False,2025-03-14
0x3W13KgQTb81OiEpT8wUm7N72Q3B7GqQ3yz9tcGvL,27,medium,2021-03-24,62,Gemini,False,2025-03-14
3XJXvga5jQGrIkEesCnZhEavZdi2WF7I7S,10,low,2022-12-11,440,,False,2025-03-14
19mKfnDvYNA7gqstIQtJQmiIsfJMHx2BiB,4,low,2023-05-08,145,,False,2025-03-14
MFQwvC7C4bVfi4WJxM32d0hPCVG0fq9gKY,8,low,2023-12-14,37,,False,2025-03-14
bc1DudTPTdmiTEnP0st9aEQhaLhgmDZBdhz8Y0HYQ1,6,low,2021-02-28,87,,False,2025-03-14
0xMANlYOkTHDrP7EPyRgzAbCIasN3Mc47DSr8w1FvR,15,low,2023-04-08,1185,Gemini,False,2025-03-14
3FkjOIC1iWO5e0D7LlRFOqRKKKZebToPEQ,17,low,2022-07-16,133,,False,2025-03-14
MV8YTo3k3UAdLh0eVL05tRx9JmpBrmkYYl,1,low,2023-10-26,487,,False,2025-03-14
bc1b7fciaWJ1vQ7TGlmZFw30XBM2JhGgEdHbYrZyw2,5,low,2022-09-11,88,,False,2025-03-14
L8eJ05FydRgD4qbuquViHT5P2oe64RVc86,14,low,2024-01-30,66,,False,2025-03-14
bc1T53DiSgEnvDW2o5bWmLxQbDyxhRIhhM4vv4ofaz,11,low,2024-05-15,164,,False,2025-03-14
bc1J9aSYehlcvOpsLDhepHETw4nS6WsOGqRFd3RMrm,15,low,2023-09-18,129,,False,2025-03-14
L0GsIhSWcoBV7bZqKs7d0xbxBnxOHObV64,1,low,2022-09-07,14,Coinbase Hot Wallet,False,2025-03-14
0xUuZqUnbSM1W5UYI75r9HASVq7C9o4rQr9VsJcrqp,6,low,2021-12-20,37,,False,2025-03-14
bc1YLhJtqlCBC7D0nd6rLtdlVr1hNjMdhcQ1JcSdSq,40,medium,2022-01-19,10,,False,2025-03-14
3a00HcogFhemJZQeArbLw83x6sbwsjKgnt,13,low,2022-06-03,29,,False,2025-03-14
bc1WFKvnZcTx9ee6nFJHzT0GdDGBqZsppVwCUhoT2w,60,high,2023-08-17,7,Unknown,False,2025-03-14
0xvF4OLBzJZhHWzKiqrtfA8JNV32ahqI5UhcAQ9i14,94,severe,2022-09-05,60,Unknown,False,2025-03-14
0x4vyISh33KM9cTwBzBZrDilV46f3KwOxBFK6gsvI3,21,low,2023-04-14,31,,False,2025-03-14
ltc1F5rxU7c62TAr2tvkrEnk6qLgorfIFkLc3HmEYwr,2,low,2023-04-14,1842,,False,2025-03-14
bc1ABhC4S4h3EfirP8XUnejuCTPeQ3cgRGlIZM6MpK,3,low,2024-08-30,70,Binance.US,False,2025-03-14
0x2nmDElEiNfGSnAELScQMNovG7202PENLHsn73VAB,16,low,2024-06-09,44,,False,2025-03-14
0xpAk7Ovyh201LQbqn0zIuPzYAqdEnNcBn2HWg8LiH,19,low,2024-12-01,120,,False,2025-03-14
ltc1bxWuvVddnH9ZySrkxzIpa0UGFXcrbNQcUYxyY21,34,medium,2021-07-15,58,Kraken,False,2025-03-14
1eSVzaZLjTXmLtuFbqmqODsf7ID4HpbEyx,6,low,2023-04-15,545,,False,2025-03-14
bc1SCJbVBDgtiNfIm6KfyZG0VdEzTZcQL2qmIEE7oC,9,low,2021-01-30,159,,False,2025-03-14
0xDITT5AehaGhm1h2EMGi2zah9S2qt3IkrQX7xLDnu,22,low,2022-04-09,51,,False,2025-03-14
0xU95kSDtlD9aRmfCfMKeN2valr4ATwV5INmKgnlIh,25,low,2022-02-11,73,,False,2025-03-14
0xGNxJ0L7TM4maon5MiDae8iYADsVoyVRwZteLnkNr,6,low,2021-08-28,1,,False,2025-03-14
0xiBBRph3Ol11VvAM25lx59mwmKu44FaqONy9RqdJb,6,low,2022-12-20,30,,False,2025-03-14
bc159NED2UYcb3jT1iA0dNdgH8mMbZ0tR4K6G6yZPe,3,low,2021-03-20,42,,False,2025-03-14
0xZFTfBrmFkUZaqvvJRJChfTlK7VWnxfSpZN3lUidR,49,medium,2024-07-18,3,,False,2025-03-14
1rJzZqm8qBfwwVGZQk6KjJ9AOQrv8IUqFn,47,medium,2021-05-06,28,,False,2025-03-14
1CbhOliKxxKcRN1aAuOg4sClbYCJAyZpxu,30,medium,2023-08-03,477,Coinbase Hot Wallet,False,2025-03-14
bc1yc5o55gAqJKkksLRG6JiPWdfXivyCOmktl1BSjI,7,low,2023-10-15,12,,False,2025-03-14
3ajgIynDxCp4yt5yurP2LHvP8b2lowFaLy,55,high,2024-01-01,583,,False,2025-03-14
1OilnAvOArxYc7AkQZCfQg1XatJxCE7yVs,11,low,2021-12-30,33,Payment Processor,False,2025-03-14
0xqNLXBxDuHwW8GxPju5KmYTCdrhEw3QpusYHlwbuN,65,high,2021-11-13,1,,False,2025-03-14
0xKwcTpffTNAr8QpZZTGCexj8N2x8e5UAb6pO2ZAhl,94,severe,2022-03-17,26,,True,2025-03-14
39MHXRdJn5rQlFcylramWOrCWNgnRnLTLC,10,low,2021-07-26,288,,False,2025-03-14
0xAKHDIvtZj0EGkyyOJeE9fUGsUBCjKMJzVUrU9xHx,23,low,2021-09-20,304,,False,2025-03-14
0x6hyngr1V98Ivn3rVNPQNNFHnzUr5j2yaZVOQgJzz,11,low,2024-02-25,73,,False,2025-03-14
1NMiM9LT6upJDfwU2OI10kw2k65us3mCpL,23,low,2022-08-21,11,,False,2025-03-14
1X8FgLu5jC7acP191ezqShWOHbDTsyYVwS,8,low,2021-01-25,137,,False,2025-03-14
bc1NBWg0UJXSwOipDquRCRUUvQuBprciGb2IStSJsS,57,high,2021-08-01,8,Mixer Service,False,2025-03-14
bc1sURjsxNbnsKqSU9zMkvj0tx1EkGk3a6vtnrWWOw,13,low,2023-08-05,16,Binance.US,False,2025-03-14
3JNaUYW3TwcM7Fq70HeXBGpXl61oSl8qrU,6,low,2024-07-04,192,,False,2025-03-14
bc1Zd3GdoKKCHWtNmhfmHnEJK1g2WmXMCaULEkFF6s,10,low,2022-01-28,470,,False,2025-03-14
bc1prItB86Et8DkeAs5BNHlWVnFtGgsLJjjVW0Lj78,23,low,2023-03-09,23,,False,2025-03-14
bc1KzToq5ZwsTZttIVa6dzOiCrYmPpZbAxITXMBqej,14,low,2021-07-17,58,,False,2025-03-14
0xS6K76Wy7Rp9KddvHBrD2e8TZ2KJIBuHOIYQiV1RT,4,low,2022-04-11,72,,False,2025-03-14
34B2lDCuQRpUbhzyEcG4FbBbFXWEJNTJ8W,5,low,2023-08-23,483,,False,2025-03-14
bc1jF0JDOleQYC39julJCWT63ysMyatj1KVHOmY53S,38,medium,2024-08-26,131,Kraken,False,2025-03-14
0xJljtgH6chve15Omk9o5Vb26h6b10mdBmVKh8FJGk,12,low,2024-09-03,66,,False,2025-03-14
0xm6Tw9znfFDF6bxA7gwte6OoROY2a7T3c0kaGiDcK,19,low,2021-03-02,70,,False,2025-03-14
L1Oxzjk67UYl2gkEsM4qtWu3c24cxLGja3,27,medium,2021-12-21,28,,False,2025-03-14
0xf9gD81HiLNtD3hOwMSDU0mni6nffz2golOu8PGJ2,39,medium,2022-10-05,38,Coinbase Hot Wallet,False,2025-03-14
1uxjT0UXNX8aNZoyaD1l18z9CqBUOFu9lv,47,medium,2022-07-17,93,Payment Processor,False,2025-03-14
0x2VCf1VqWAbHf8ZhShvCI678lY2FiQWmUGWIGcHHR,5,low,2022-11-07,912,,False,2025-03-14
0x9kjQN1o5SH7Amd8yyGADtSseRPmTKeUiDj888yjz,5,low,2023-03-10,15,Major Exchange,False,2025-03-14
0xKpvo6iyTKPmiruNGGVLoBYHLj2US26cZpMAkS1Es,6,low,2022-02-11,126,Payment Processor,False,2025-03-14
0xGfT71o0ERAdgV0T4NuPpwaSEKnAq9ZELJL1PcgZN,17,low,2022-02-02,42,,False,2025-03-14
1JhVwP4AyUvW0JG6YMWPbJb6g5XT0pYv8p,5,low,2024-05-04,352,,False,2025-03-14
0xBcC9qXmVHtyvY01uMTZoZgSNtElxqRvX3U7ugK4R,48,medium,2021-08-07,1279,,False,2025-03-14
0xIUHyRmfL2zqSHy5g7Y3sJf9BcHPqEZ8poOnapbLZ,69,high,2024-12-24,107,,False,2025-03-14
0xzIJz0KM38UR8Xqw36tw7i19pHh8WFDtYLSSNI9CJ,0,low,2022-12-28,10,,False,2025-03-14
0xdMEB7kIIdv1jQeSJ6TSER69nCHPuJ26iHQtaLSwh,49,medium,2021-05-15,24,,False,2025-03-14
1MGTTpLVllOEhf6J6yzRivfwR2Elyo9NvU,7,low,2021-11-25,416,,False,2025-03-14
ltc1p2dIQfa9ausXJxekNEH8gQjxkB0VFYBM53Xh55g,17,low,2022-05-22,97,Kraken,False,2025-03-14
bc1lG3EL9565HyBhIuwoYlzw45Y4R0gGPtGJGyHmtB,11,low,2022-11-04,1018,,False,2025-03-14
1sMzxEEtEyEWrQdZlf3UJktcb7xvHZQAF0,0,low,2025-01-01,16,,False,2025-03-14
bc1wR4g63SemmNa5mQ5aoYZ99ZxZcipP2AJ1Mm2TqQ,18,low,2022-01-15,96,,False,2025-03-14
MZx0lWpaQcVhQehjXeHkT7SRrr1qVy2mf0,24,low,2023-07-27,44,,False,2025-03-14
Lh9DgoZlVXoMBiLc5VlntJ6v65vmNyjsdl,10,low,2023-01-28,161,,False,2025-03-14
1uSbB0LrjHtgeGbSStc3QaadyJ1VcHbZDJ,37,medium,2024-07-26,146,,False,2025-03-14
3rMBUQLv9C5jHwiNk792wbXiCSHoy0v6Az,31,medium,2024-10-19,43,,False,2025-03-14
0xTBywuySmnlm2OM3HVzNnigOsZWMdnIjxGlBRxPqU,56,high,2023-04-03,7,,False,2025-03-14
bc1VNJXjtpTVELVGMcgeb51uf5wU7teMt4BuksXj2k,25,low,2022-07-04,6,,False,2025-03-14
0xh4zIMRr0ph64gc2DDVK9wBJBbEPvvfwkMP4g57mN,6,low,2021-08-09,1425,Gemini,False,2025-03-14
3S6fLXa3zk0lrG4E4dotBAcUVCeIi8MTbx,12,low,2021-08-27,24,,False,2025-03-14
0x4xcPRuX0Wzv6SIEq44fPtFhYXgexjXW1aaY1MjM2,37,medium,2024-02-10,682,,False,2025-03-14
3NuPLdi45lSfAQnSxMlYRERDTK1BFe8q2J,11,low,2021-10-24,31,,False,2025-03-14
LRRelt9kNKLFrAZTGO8pUedvTMYeVSaUfK,26,medium,2023-08-02,2,,False,2025-03-14
3RL7JTtwYwsEHUokQz2uX6z1CjTx62Wx1j,3,low,2021-10-17,98,Coinbase Hot Wallet,False,2025-03-14
0xwAY4j6nbDqmEjZ0rlLEA0EPvg7RLiGEnE7NutMLL,0,low,2023-10-24,12,,False,2025-03-14
bc1rSY1w8dBzmuo2t48WIJumhtN8oKoYEDbFfUMfEL,2,low,2022-07-27,243,,False,2025-03-14
bc1qBWXri0dpNuZDjqt9LHZO7LhTTmXrXAYaqibOVe,14,low,2024-03-07,183,,False,2025-03-14
3W9BxjBt6CmLrKubduDiZxbAulMVNuUcFS,38,medium,2024-10-13,37,,False,2025-03-14
0xSE5igkSfwwfveydzWRHfmjV1odQbNRDcV67ityNy,5,low,2024-02-10,147,Coinbase Hot Wallet,False,2025-03-14
0xFrbSzemcoEve2FZyjaMMqxyZUpm3yOCB7PVmgyg5,18,low,2023-03-14,44,,False,2025-03-14
LmJUZP2YwdMJ2pFtnluESSCyU5DKXP6ega,4,low,2023-03-13,3,,False,2025-03-14
1M165sxJjdnlA2ezbV3sq53Xm5UQb5Dafo,25,low,2021-05-25,44,,False,2025-03-14
bc1RqbIdQnyxcACka3O72SSmqP7lQY9cI1IRXSUrfw,16,low,2024-01-20,42,,False,2025-03-14
0xYHx3THtNzJx8VjP3Pz7fpi5OBHQ3v48ivNU0J8XZ,34,medium,2023-09-23,353,Major Exchange,False,2025-03-14
3fzgFcga5PkoSuhTXIyOyJUQ9oNjRUS38X,33,medium,2022-03-27,61,,False,2025-03-14
3ie6ozZHfYbbhlWep6AwyRsymAKDMcEbtb,19,low,2022-12-02,154,Coinbase Hot Wallet,False,2025-03-14
0xR1xHgQMv8EbcE4DHfSS5CUo9ctW0nzah1W6BFCRy,10,low,2022-12-14,14,,False,2025-03-14
0x5OdKRE3skrugjZmEaWY4VclvQ0oBR4giT6IBwRbG,27,medium,2024-02-29,10,,False,2025-03-14
bc1wHzcBRef2PDFp5ibflmOHID8OKhcmsUyxFaGqGs,2,low,2022-03-05,26,,False,2025-03-14
1tpDnPDnkIM1eP1jVD9ekMzM6ZzUctylTx,10,low,2021-10-03,3,,False,2025-03-14
0xBZn4D6Fz2NoGEeLzIRWVcrrO9vZL41DEU0KIQLWi,1,low,2024-10-20,9,,False,2025-03-14
3fEvGNpqqrFt44JvsZGzqAOV3iVsQwHtXK,35,medium,2023-07-13,769,Kraken,False,2025-03-14
0xkS2NmWZlOEpEqJHjLp7Y8al55C9KrJmdA8KDxhlw,29,medium,2024-07-28,48,Gemini,False,2025-03-14
1cegHhfUAcOdg8SronLU5vobKVk7xHbjJM,46,medium,2024-08-15,51,,False,2025-03-14
3YhpzpL34raPA10Bo0zBj30UbVmPB2vbFy,13,low,2021-09-04,127,,False,2025-03-14
3LxRLRxWmtzpsoLDb5pRCXyvxES4fpow9D,22,low,2024-12-30,33,,False,2025-03-14
1nKGGmcxcoRjMIpGpjiB2lzke2MJW21TrD,50,medium,2024-08-02,21,Gemini,False,2025-03-14
0xAkb7LeVqWHWIwlHlWukqYF3ykD0oLwWCCSSkLc8i,17,low,2022-01-21,423,Coinbase Hot Wallet,False,2025-03-14
3CXQyHzG76vLSUUGzFEXmLwsLzxxtmaBNj,3,low,2024-04-29,327,Gemini,False,2025-03-14
bc1XUOspboBECC2Czd635sdCxOALvFD51Dvl5k9jSq,13,low,2021-04-25,114,Payment Processor,False,2025-03-14
0xbnGbzXCMrdGhBEVcWTJe85xOBSqi4fxycs7mJzZj,14,low,2021-12-30,109,Coinbase Hot Wallet,False,2025-03-14
0xHp4ae1qDeD85EeC3M807qI3YuPGPZKQXWpYAq6s8,25,low,2023-04-20,142,Binance.US,False,2025-03-14
0x9dKXpZI0n7CjgHwUzufkD5et3BYjDb6ho2E7Kz0r,30,medium,2022-12-13,2,,False,2025-03-14
bc1XuLK0gfTjA35XRjdDcs0Q4RPfktg9fca5W3ZEqs,8,low,2024-09-08,15,Gemini,False,2025-03-14
0xZeLiC0jWFEnryukDC7sOYz5X0PnCRcd2j9hSruto,19,low,2024-05-20,6,,False,2025-03-14
0xDz5PPTsR3Owyvd0XyYC7W1BYURO7U1l1kpf2uciF,19,low,2022-03-03,296,,False,2025-03-14
0xErmlcawvMugV8mjQ1UqyGK5mVTc7Kr9CrbK7dZzC,88,severe,2021-02-23,230,,True,2025-03-14
0x2J5Znq30YPJyaonYoaceXH36b1TVWVPEJHIW15yS,7,low,2021-01-29,9,,False,2025-03-14
1HmQeO6biUqOPz4mkg5tHIe820aoWX67hB,23,low,2022-08-25,1007,,False,2025-03-14
1FZHFDMWwfkYHpb4XXfdjjYHD5Nb0XAYWy,27,medium,2021-08-06,106,,False,2025-03-14
1lNVUe9oO4EVyNmcCaw95OzZ81f0KIhiE9,8,low,2024-12-15,200,,False,2025-03-14
